date	place	name	genre	time	price	description	website
27 Sep 11	Timbre Substation	Goodfellas	Rock	2115-0030	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
27 Sep 11	Wala Wala Café Bar	Tabula	Top 40's; Rock	2130	Free + F&B Charges	This electrifying 4 piece dish out a repertoire of classic rock hits alongside top 40's favourites. Expect to hear songs by U2, The Killers, Greenday and just about any band you can think of	http://www.imaginings.com.sg/
27 Sep 11	Yello Jello Retrobar	John Molina & Krueger	Rock	2200	Free + F&B Charges	It's hard to choose which fact is more surprising. That home-grown singer John Molina has been entertaining loyal fans for more than 15 years now or that John He's-still-so-hot! Is still only in his mid 30s. John's storied career started in 1993 and has seen him resident and guest at Singapore's leading live band venues as well as all around the region. It is hard to identify which club he is most associated with, as fans gladly follow him from place to place. Check him out at Yello Jello! 	http://www.yellojello.sg/
28 Sep 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges		http://www.crazyelephant.com/
28 Sep 11	Esplanade Recital Studio	Asian Jazz All-Stars Power Quartet	Jazz	1930	$42	Known as The Asian Jazz All-Stars Power Quartet, the band comprises Singapore’s own ‘King of Swing’ jazz pianist/organ maestro Jeremy Monteiro; Eugene Pao, arguably Asia’s top jazz guitarist from Hong Kong; Tots Tolentino, saxophone extraordinaire from Philippines; and Hong Chanutr Techatana-nan, one of the most innovative and exciting drummers to emerge in the Asian jazz scene, from Thailand. This powerful amalgamation of Asian jazz leaders is bound to create musical alchemy for their shows taking place in the intimate setting of Esplanade Recital Studio.	http://www.esplanade.com/whats_on/programme_info/the_asian_jazz_all-stars_power_...
28 Sep 11	Hard Rock Café	Six In The City ft. Tabula	Rock	2030	Free + F&B Charges		http://www.hardrock.com
28 Sep 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges		http://www.highlanderasia.com/
28 Sep 11	Hood Bar & Café	Ling Kai and Selena	Acoustic; Top 40's; Rock	2030	Free + F&B Charges		http://www.hoodbarandcafe.com/
28 Sep 11	Quarubar	Lily Nuris & Wayne Sandz	Jazz; Latin; Tango	2100	Free + F&B Charges	Chill to our draft beer of Stella Artois, Hoegaarden and San Miguel. Catch the latest sports on the TV screens. Savor our concoctions with delectable choice of finger food. Be serenaded by the harmonies of Jazz, Latin & Tango performed by our musicians as our meticulously mixed cocktails tease your palate.	http://www.facebook.com/group.php?gid=46581108311
28 Sep 11	Tab Singapore	The Next Movement	Pop; Soul; R&B	2030	Free + F&B Charges	The Next Movement are back to entertain us with their strange, eclectic mix – a mishmash of pop, a dash of soul, with sprinkles of r&b, topped with the occasional funk! Aarika, Joe & Kel, who are three parts of the hip-hop/rock band Sixx, perform their hearts out every Wednesday and Saturday at TAB.	http://www.tab.com.sg/2011/01/the-next-movement/
28 Sep 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	The inimitable Jive Talkin' spices up the evening with its vibrant and funky repertoire of top 40s, pop, rock and jazz. Dance till you drop! 	http://www.pumproomasia.com/home.html
28 Sep 11	Timbre Arts House	Enigma	Pop Rock	2015-2330	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
28 Sep 11	Timbre Old School	Luthfi & Simon	Pop Rock	1945-2300	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
28 Sep 11	Timbre Substation	Raw Earth	Rock	2115-0030	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
28 Sep 11	Wala Wala Café Bar	Timmy ft. Ngak	Pop rock	2130	Free + F&B Charges	Ngak is no stranger to the local pop scene as he can be seen doing Mandarin numbers on television. At Wala Wala, he moves the crowd with a delectable choice of current English hits, as well as yesteryears' pop favorites.	http://www.imaginings.com.sg/
28 Sep 11	Yello Jello Retrobar	John Molina & Krueger	Rock	2200	Free + F&B Charges	It's hard to choose which fact is more surprising. That home-grown singer John Molina has been entertaining loyal fans for more than 15 years now or that John He's-still-so-hot! Is still only in his mid 30s. John's storied career started in 1993 and has seen him resident and guest at Singapore's leading live band venues as well as all around the region. It is hard to identify which club he is most associated with, as fans gladly follow him from place to place. Check him out at Yello Jello! 	http://www.yellojello.sg/
29 Sep 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges		http://www.crazyelephant.com/
29 Sep 11	Hard Rock Café	Enigma	Acoustic Set	2200	Free + F&B Charges		http://www.hardrock.com
29 Sep 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges		http://www.highlanderasia.com/
29 Sep 11	Hood Bar & Café	Howie and Nelson	Rock; Top 40's; English; Chinese	2130	Free + F&B Charges		http://www.hoodbarandcafe.com/
29 Sep 11	Quarubar	Wayne Sandz & Wayne Gideon	Jazz; Latin; Tango	2100	Free + F&B Charges	Chill to our draft beer of Stella Artois, Hoegaarden and San Miguel. Catch the latest sports on the TV screens. Savor our concoctions with delectable choice of finger food. Be serenaded by the harmonies of Jazz, Latin & Tango performed by our musicians as our meticulously mixed cocktails tease your palate.	http://www.facebook.com/group.php?gid=46581108311
29 Sep 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	The inimitable Jive Talkin' spices up the evening with its vibrant and funky repertoire of top 40s, pop, rock and jazz. Dance till you drop! 	http://www.pumproomasia.com/home.html
29 Sep 11	Timbre Arts House	The Common People	Pop Rock	2015-2330	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
29 Sep 11	Timbre Old School	53A	Pop Rock	2015-2330	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
29 Sep 11	Timbre Substation	Goodfellas	Rock	2215-0045	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
29 Sep 11	Wala Wala Café Bar	Shirlyn and the UnXpected	Pop rock	2130	Free + F&B Charges	No strangers to our music scene. Since April 2002, they have been regular perfomers at Wala Wala and Balaclava. Shirlyn, lead singer and guitarist, has a solo album under her belt while the other members are respected musicians in their own rights. Musically, they are pretty much up for anything and everything. Theri repertoire ranges from anything pop to hard rock.	http://www.imaginings.com.sg/
29 Sep 11	Yello Jello Retrobar	John Molina & Krueger	Rock	2200	Free + F&B Charges	It's hard to choose which fact is more surprising. That home-grown singer John Molina has been entertaining loyal fans for more than 15 years now or that John He's-still-so-hot! Is still only in his mid 30s. John's storied career started in 1993 and has seen him resident and guest at Singapore's leading live band venues as well as all around the region. It is hard to identify which club he is most associated with, as fans gladly follow him from place to place. Check him out at Yello Jello! 	http://www.yellojello.sg/
30 Sep 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges		http://www.crazyelephant.com/
30 Sep 11	Hard Rock Café	Energy	Rock	2200	Free + F&B Charges		http://www.hardrock.com
30 Sep 11	Hard Rock Café Sentosa	Enigma	Top 40's	2200	Free + F&B Charges		http://www.hardrockhotelsingapore.com/
30 Sep 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges		http://www.highlanderasia.com/
30 Sep 11	Hood Bar & Café	Ngak and the Timmy! Band	Rock	2130	Free + F&B Charges		http://www.hoodbarandcafe.com/
30 Sep 11	Quarubar	Michaela Therese & Joe Jayaveeran	Jazz; Latin; Tango	2100	Free + F&B Charges	Chill to our draft beer of Stella Artois, Hoegaarden and San Miguel. Catch the latest sports on the TV screens. Savor our concoctions with delectable choice of finger food. Be serenaded by the harmonies of Jazz, Latin & Tango performed by our musicians as our meticulously mixed cocktails tease your palate.	http://www.facebook.com/group.php?gid=46581108311
30 Sep 11	Tab Singapore	Mel & Khim	Pop	1930	Free + F&B Charges	Khim’s singing profession began at 13 when she was the youngest ever, top 4 female finalist in the “Campus Super Star 2006″ competition. Even now, Khim still sounds much larger than her tender age of 19.  Together with Mel (Member of E.I.C) on “bassed”-guitar, this duo will delight you with a versatile mix of the latest, as well as classic top 40 and easy listening hits with a penchant towards R&B.	http://www.tab.com.sg/2011/01/mel-khim/
30 Sep 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	The inimitable Jive Talkin' spices up the evening with its vibrant and funky repertoire of top 40s, pop, rock and jazz. Dance till you drop! 	http://www.pumproomasia.com/home.html
30 Sep 11	Timbre Arts House	Goodfellas	Pop Rock	2130-0045	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
30 Sep 11	Timbre Old School	Sugarlove	Pop Rock	2015-2330	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
30 Sep 11	Timbre Substation	53A	Pop	2230-0145	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
30 Sep 11	Wala Wala Café Bar	The Common People	Pop rock	 -	Free + F&B Charges	This outfit of 5 has grown to be known as the party band of Wala Wala! With their thirst to provide the best of yesterday's and today's songs, they have become the band to watch along Holland Village on Friday nights.	http://www.imaginings.com.sg/
30 Sep 11	Yello Jello Retrobar	John Molina & Krueger	Rock	2200	Free + F&B Charges	It's hard to choose which fact is more surprising. That home-grown singer John Molina has been entertaining loyal fans for more than 15 years now or that John He's-still-so-hot! Is still only in his mid 30s. John's storied career started in 1993 and has seen him resident and guest at Singapore's leading live band venues as well as all around the region. It is hard to identify which club he is most associated with, as fans gladly follow him from place to place. Check him out at Yello Jello! 	http://www.yellojello.sg/
1 Oct 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges		http://www.crazyelephant.com/
1 Oct 11	Hard Rock Café	Enigma	Top 40's	2200	Free + F&B Charges		http://www.hardrock.com
1 Oct 11	Hard Rock Café Sentosa	Energy	Rock	2200	Free + F&B Charges		http://www.hardrockhotelsingapore.com/
1 Oct 11	Hood Bar & Café	Pennylane Band	Rock	2130	Free + F&B Charges		http://www.hoodbarandcafe.com/
1 Oct 11	Hood Bar & Café	In Each Hand A Cutlass		2030-2115	Free + F&B Charges	http://www.facebook.com/IEHAC	http://www.hoodbarandcafe.com/
1 Oct 11	Quarubar	Alemay & Shawn Letts	Jazz; Latin; Tango	2100	Free + F&B Charges	Chill to our draft beer of Stella Artois, Hoegaarden and San Miguel. Catch the latest sports on the TV screens. Savor our concoctions with delectable choice of finger food. Be serenaded by the harmonies of Jazz, Latin & Tango performed by our musicians as our meticulously mixed cocktails tease your palate.	http://www.facebook.com/group.php?gid=46581108311
1 Oct 11	Tab Singapore	The Next Movement	Pop; Soul; R&B	2130	Free + F&B Charges	The Next Movement are back to entertain us with their strange, eclectic mix – a mishmash of pop, a dash of soul, with sprinkles of r&b, topped with the occasional funk! Aarika, Joe & Kel, who are three parts of the hip-hop/rock band Sixx, perform their hearts out every Wednesday and Saturday at TAB.	http://www.tab.com.sg/2011/01/the-next-movement/
1 Oct 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	The inimitable Jive Talkin' spices up the evening with its vibrant and funky repertoire of top 40s, pop, rock and jazz. Dance till you drop! 	http://www.pumproomasia.com/home.html
1 Oct 11	Timbre Arts House	The Common People	Pop Rock	2130-0045	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
1 Oct 11	Timbre Old School	Sofia & Fatt	Pop Rock	2115-1230	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
1 Oct 11	Timbre Substation	Goodfellas	Rock	2230-0145	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
1 Oct 11	Wala Wala Café Bar	Shirlyn and the UnXpected	Pop rock	2130	Free + F&B Charges	No strangers to our music scene. Since April 2002, they have been regular perfomers at Wala Wala and Balaclava. Shirlyn, lead singer and guitarist, has a solo album under her belt while the other members are respected musicians in their own rights. Musically, they are pretty much up for anything and everything. Theri repertoire ranges from anything pop to hard rock.	http://www.imaginings.com.sg/
2 Oct 11	Crazy Elephant	Jam Session	Blues	2200	Free + F&B Charges		http://www.crazyelephant.com/
2 Oct 11	Hard Rock Café	Bushman	Raggae	2200	Free + F&B Charges		http://www.hardrock.com
2 Oct 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges		http://www.highlanderasia.com/
2 Oct 11	Hood Bar & Café	Victor Tang	Acoustic; Top 40's	2030	Free + F&B Charges		http://www.hoodbarandcafe.com/
2 Oct 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	The inimitable Jive Talkin' spices up the evening with its vibrant and funky repertoire of top 40s, pop, rock and jazz. Dance till you drop! 	http://www.pumproomasia.com/home.html
2 Oct 11	Timbre Substation	Timbre Academy All Stars 	Pop	2145-0030	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
2 Oct 11	Wala Wala Café Bar	Jack & Rai	Pop rock	 -	Free + F&B Charges	The boys have been woing the crowd at Wala Wala for years. Sundays take on a different twist when they entertain with a cosy yet somewhat relaxed night of acoustic pop tunes and their originals	http://www.imaginings.com.sg/
2 Oct 11	Yello Jello Retrobar	John Molina & Krueger	Rock	2200	Free + F&B Charges	It's hard to choose which fact is more surprising. That home-grown singer John Molina has been entertaining loyal fans for more than 15 years now or that John He's-still-so-hot! Is still only in his mid 30s. John's storied career started in 1993 and has seen him resident and guest at Singapore's leading live band venues as well as all around the region. It is hard to identify which club he is most associated with, as fans gladly follow him from place to place. Check him out at Yello Jello! 	http://www.yellojello.sg/
3 Oct 11	Balaclava	Wendy & David	classic; jazz	2000	Free + F&B Charges	The dynamic duo accompany guests down memory lane with ther selection of evergreen classics and the occasional jazz number. Soulful yet intriguing, Wendy's singing is an enchantment to be remembered by many	http://www.imaginings.com.sg/
3 Oct 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges		http://www.crazyelephant.com/
3 Oct 11	Esplanade Recital Studio	Tandy Lim: Songs of Liu San Jie	Chinese; folk	1030, 1500	$12	Liu San-Jie (Third Sister Liu) is a classic Chinese movie filmed in 1960 about a talented singer of folk songs. Besides the scenic Guilin landscape, the songs in the film are still remembered by many till this day. Relive the story as versatile local songstress and vocal trainer Tandy Lim brings you a selection of songs from Liu San-Jie.	http://www.esplanade.com/whats_on/programme_info/songs_of_liu_san-jie/index.jsp
3 Oct 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges		http://www.highlanderasia.com/
3 Oct 11	Hood Bar & Café	Wanyue	Chinese; Pop	2030	Free + F&B Charges		http://www.hoodbarandcafe.com/
3 Oct 11	Quarubar	Dawn Ho & Munir Alsagoff	Jazz; Latin; Tango	2100	Free + F&B Charges	Chill to our draft beer of Stella Artois, Hoegaarden and San Miguel. Catch the latest sports on the TV screens. Savor our concoctions with delectable choice of finger food. Be serenaded by the harmonies of Jazz, Latin & Tango performed by our musicians as our meticulously mixed cocktails tease your palate.	http://www.facebook.com/group.php?gid=46581108311
3 Oct 11	Singapore Indoor Stadium	Westlife 	Pop 	2000	$80-$150	The quartet’s eleventh offering, Gravity, sees the Irishmen sail into uncharted waters, wrestle an unprecedented level of creative control and most critically of all – start believing in themselves again. “It’s a really good album,” insists Nicky Byrne. “It’s one producer. It’s one sound. Maybe it’s taken us twelve years to get there. But it doesn’t matter. We’re here now.  “It’s the kind of record we knew we could make and we just needed the right person to deliver it with us.”  And that individual was legendary producer John Shanks. He steered Take That’s last two collections, was responsible for Bon Jovi’s recent reinvention and sculpted some of Kelly Clarkson, Celine Dion and Sheryl Crow’s most enduring hits.	http://www.midaspromotions.com/upcoming.htm
3 Oct 11	Timbre Arts House	Surath & Rene	Pop Rock	2030-2330	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
3 Oct 11	Timbre Old School	Pam & Chris	Pop Rock	1945-2300	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
3 Oct 11	Timbre Substation	Michaela Therese	Jazz	2215-0030	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
3 Oct 11	Yello Jello Retrobar	John Molina & Krueger	Rock	2200	Free + F&B Charges	It's hard to choose which fact is more surprising. That home-grown singer John Molina has been entertaining loyal fans for more than 15 years now or that John He's-still-so-hot! Is still only in his mid 30s. John's storied career started in 1993 and has seen him resident and guest at Singapore's leading live band venues as well as all around the region. It is hard to identify which club he is most associated with, as fans gladly follow him from place to place. Check him out at Yello Jello! 	http://www.yellojello.sg/
4 Oct 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges		http://www.crazyelephant.com/
4 Oct 11	Hard Rock Café	Unified	Top 40's; Rock	2030	Free + F&B Charges		http://www.hardrock.com
4 Oct 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges		http://www.highlanderasia.com/
4 Oct 11	Hood Bar & Café	Singapore Char Siew Bao	Acoustic; Top 40's	2030	Free + F&B Charges		http://www.hoodbarandcafe.com/
4 Oct 11	Quarubar	Dawn Ho & Munir Alsagoff	Jazz; Latin; Tango	2100	Free + F&B Charges	Chill to our draft beer of Stella Artois, Hoegaarden and San Miguel. Catch the latest sports on the TV screens. Savor our concoctions with delectable choice of finger food. Be serenaded by the harmonies of Jazz, Latin & Tango performed by our musicians as our meticulously mixed cocktails tease your palate.	http://www.facebook.com/group.php?gid=46581108311
4 Oct 11	Tab Singapore	Mel & Khim	Pop	2030	Free + F&B Charges	Khim’s singing profession began at 13 when she was the youngest ever, top 4 female finalist in the “Campus Super Star 2006″ competition. Even now, Khim still sounds much larger than her tender age of 19.  Together with Mel (Member of E.I.C) on “bassed”-guitar, this duo will delight you with a versatile mix of the latest, as well as classic top 40 and easy listening hits with a penchant towards R&B.	http://www.tab.com.sg/2011/01/mel-khim/
4 Oct 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	The inimitable Jive Talkin' spices up the evening with its vibrant and funky repertoire of top 40s, pop, rock and jazz. Dance till you drop! 	http://www.pumproomasia.com/home.html
4 Oct 11	Timbre Arts House	53A	Pop Rock	2015-2330	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
4 Oct 11	Timbre Old School	Fatt, Shili & Adi	Pop Rock	1945-2300	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
4 Oct 11	Timbre Substation	Neh'mind- Tribute to Nirvana's Nevermind	Pop; Rock	1900	Free + F&B Charges	Event titled Neh’mind, five Singapore artists/bands - Fatskunks, Goodfellas, Lunarin, Michaela Therese and The Lard Brothers are invited to play tribute to the iconic Nevermind album in their own unique ways (think of this like SPIN’s tribute Newermind but live on stage). Neh’mind is not just a night with musicians covering classic songs from Nevermind, Nirvana-style but a night for artists to dice, slice, dissect and present their own unique interpretation of the songs. Perhaps “Smells Like Teen Spirit” reggae style? “Come As You Are” in jazz tones? This event also highlights the enormous influence Nirvana has on our Singapore musicians and songwriters lyrically, musically and philosophically, and to celebrate that, the featured artists will also be performing one of their own originals to showcase their personalities on stage.	http://www.timbregroup.asia/timbresg/main.asp
4 Oct 11	Timbre Substation	Goodfellas	Rock	2115-0030	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
4 Oct 11	Wala Wala Café Bar	Tabula	Top 40's; Rock	2130	Free + F&B Charges	This electrifying 4 piece dish out a repertoire of classic rock hits alongside top 40's favourites. Expect to hear songs by U2, The Killers, Greenday and just about any band you can think of	http://www.imaginings.com.sg/
4 Oct 11	Yello Jello Retrobar	John Molina & Krueger	Rock	2200	Free + F&B Charges	It's hard to choose which fact is more surprising. That home-grown singer John Molina has been entertaining loyal fans for more than 15 years now or that John He's-still-so-hot! Is still only in his mid 30s. John's storied career started in 1993 and has seen him resident and guest at Singapore's leading live band venues as well as all around the region. It is hard to identify which club he is most associated with, as fans gladly follow him from place to place. Check him out at Yello Jello! 	http://www.yellojello.sg/
5 Oct 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges		http://www.crazyelephant.com/
5 Oct 11	Hard Rock Café	Six In The City ft. Tabula	Rock	2200	Free + F&B Charges		http://www.hardrock.com
5 Oct 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges		http://www.highlanderasia.com/
5 Oct 11	Hood Bar & Café	Ling Kai and Selena	Acoustic; Top 40's; Rock	2030	Free + F&B Charges		http://www.hoodbarandcafe.com/
5 Oct 11	Quarubar	Lily Nuris & Wayne Sandz	Jazz; Latin; Tango	2100	Free + F&B Charges	Chill to our draft beer of Stella Artois, Hoegaarden and San Miguel. Catch the latest sports on the TV screens. Savor our concoctions with delectable choice of finger food. Be serenaded by the harmonies of Jazz, Latin & Tango performed by our musicians as our meticulously mixed cocktails tease your palate.	http://www.facebook.com/group.php?gid=46581108311
5 Oct 11	SSO Concert Hall	Les Oiseaux - Bird Songs	Classical; 	2000	$15-30	Les Oiseaux ~ Bird Songs is a special and original multi-disciplinary concert that fuses music and photography into a single sensorial experience. Award-winning French art photographer Florence Notté collaborates with renowned composer-conductor Dr. Robert Casteels in presenting a series of stunning and original photographs together with passionate and sensual music. The dialogue between silent photography and sound is in turn moving, evocative and enthralling. 	http://www.sistic.com.sg/portal/dt?dt.isPortletRequest=true&dt.action=process&dt.provider=PortletWindowProcessChannel&dt.windowProvider.targetPortletChannel=JSPTabContainer/sEventsCalendar/Event&dt.containerName=JSPTabContainer/sEventsCalendar&dt.windowProvider.currentChannelMode=VIEW&dt.window.portletAction=RENDER&contentCode=wings1011
5 Oct 11	Tab Singapore	The Next Movement	Pop; Soul; R&B	2030	Free + F&B Charges	The Next Movement are back to entertain us with their strange, eclectic mix – a mishmash of pop, a dash of soul, with sprinkles of r&b, topped with the occasional funk! Aarika, Joe & Kel, who are three parts of the hip-hop/rock band Sixx, perform their hearts out every Wednesday and Saturday at TAB.	http://www.tab.com.sg/2011/01/the-next-movement/
5 Oct 11	The Coliseum, Hard Rock Hotel Singapore	Alice Cooper	Hard Rock	1900	$120	This will be Alice Cooper’s inaugural show in Singapore and we are in for quite a treat. As an artist, he has both been influenced by and then influenced horror movies and garage rock to pioneer a spectacular theatrical brand of hard rock that was designed to shock and Alice Cooper is the master of the genre. His fans range from Salvador Dali to Bob Dylan to Foo Fighters – Dave Grohl and Johnny Depp, who took the stage with Alice Cooper and his Band at the legendary “100 Club” in London last month. Without Alice Cooper the world would never have seen Bands like the New York Dolls, Kiss, Marilyn Manson, Nine Inch Nails, Motley Crue, Slipnot or Rob Zombie, all of whom have been considerably influenced by the legendary Alice Cooper.	http://www.sistic.com.sg/portal/dt?dt.isPortletRequest=true&dt.action=process&dt.provider=PortletWindowProcessChannel&dt.windowProvider.targetPortletChannel=JSPTabContainer/sEventsCalendar/Event&dt.containerName=JSPTabContainer/sEventsCalendar&dt.windowProvider.currentChannelMode=VIEW&dt.window.portletAction=RENDER&contentCode=alice1011
5 Oct 11	The Coliseum™, Hard Rock Hotel® Singapore	Alice Cooper, live in Singapore	Rock	2000	$120	ALICE COOPER ~ The original and still the best shock rocker in music , is excited about his “ No More Mr Nice Guy” Tour coming to Singapore. Alice has also announced that guitar Rock Goddess ORIANTHI is the newest member of his Band for this Tour.  As an artist, he pioneered the spectacular theatrical brand of hard rock that was designed to shock & Alice Cooper is the master, whose stagecraft and showmanship have permanently transformed this genre. He is a legendary artist with legions of fans who include Bob Dylan, Salvador Dali, Foo Fighters ~ Dave Grohl and Johnny Depp who took to the stage with Alice & his Band at the “100 Club” in London last month.	http://www.sistic.com.sg/portal/dt?dt.isPortletRequest=true&dt.action=process&dt.provider=PortletWindowProcessChannel&dt.windowProvider.targetPortletChannel=JSPTabContainer/sEventsCalendar/Event&dt.containerName=JSPTabContainer/sEventsCalendar&dt.windowProvider.currentChannelMode=VIEW&dt.window.portletAction=RENDER&contentCode=alice1011
5 Oct 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	The inimitable Jive Talkin' spices up the evening with its vibrant and funky repertoire of top 40s, pop, rock and jazz. Dance till you drop! 	http://www.pumproomasia.com/home.html
5 Oct 11	Timbre Arts House	Enigma	Pop Rock	2015-2330	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
5 Oct 11	Timbre Old School	Luthfi & Simon	Pop Rock	1945-2300	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
5 Oct 11	Timbre Substation	Raw Earth	Rock	2115-0030	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
5 Oct 11	Wala Wala Café Bar	Timmy ft. Ngak	Pop rock	2130	Free + F&B Charges	Ngak is no stranger to the local pop scene as he can be seen doing Mandarin numbers on television. At Wala Wala, he moves the crowd with a delectable choice of current English hits, as well as yesteryears' pop favorites.	http://www.imaginings.com.sg/
5 Oct 11	Yello Jello Retrobar	John Molina & Krueger	Rock	2200	Free + F&B Charges	It's hard to choose which fact is more surprising. That home-grown singer John Molina has been entertaining loyal fans for more than 15 years now or that John He's-still-so-hot! Is still only in his mid 30s. John's storied career started in 1993 and has seen him resident and guest at Singapore's leading live band venues as well as all around the region. It is hard to identify which club he is most associated with, as fans gladly follow him from place to place. Check him out at Yello Jello! 	http://www.yellojello.sg/
6 Oct 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges		http://www.crazyelephant.com/
6 Oct 11	Hard Rock Café	Enigma	Acoustic Set	2200	Free + F&B Charges		http://www.hardrock.com
6 Oct 11	Hood Bar & Café	Howie and Nelson	Rock; Top 40's; English; Chinese	2130	Free + F&B Charges		http://www.hoodbarandcafe.com/
